Recipe,Building,In1_Name,In1_Rate,In2_Name,In2_Rate,In3_Name,In3_Rate,In4_Name,In4_Rate,Out1_Name,Out1_Rate,Out2_Name,Out2_Rate
Plastic AI LimiterAlternate,Assembler,Quickwire,120.0,Plastic,28.0,,,,,AI Limiter,8.0,,
Plastic Smart PlatingAlternate,Manufacturer,Reinforced Iron Plate,2.5,Rotor,2.5,Plastic,7.5,,,Smart Plating,5.0,,
Plutonium Fuel UnitAlternate,Assembler,Encased Plutonium Cell,10.0,Pressure Conversion Cube,0.5,,,,,Plutonium Fuel Rod,0.5,,
Polyester FabricAlternate,Refinery,Polymer Resin,30.0,Water,30.0,,,,,Fabric,30.0,,
Polymer ResinAlternate,Refinery,Crude Oil,60.0,,,,,,,Polymer Resin,130.0,Heavy Oil Residue,20.0
Pure Aluminum IngotAlternate,Smelter,Aluminum Scrap,60.0,,,,,,,Aluminum Ingot,30.0,,
Pure Caterium IngotAlternate,Refinery,Caterium Ore,24.0,Water,24.0,,,,,Caterium Ingot,12.0,,
Pure Copper IngotAlternate,Refinery,Copper Ore,15.0,Water,10.0,,,,,Copper Ingot,37.5,,
Pure Iron IngotAlternate,Refinery,Iron Ore,35.0,Water,20.0,,,,,Iron Ingot,65.0,,
Pure Quartz CrystalAlternate,Refinery,Raw Quartz,67.5,Water,37.5,,,,,Quartz Crystal,52.5,,
Quartz PurificationAlternate,Refinery,Raw Quartz,120.0,Nitric Acid,10.0,,,,,Quartz Crystal,75.0,Dissolved Silica,60.0
Quickwire CableAlternate,Assembler,Quickwire,7.5,Rubber,5.0,,,,,Cable,27.5,,
Quickwire StatorAlternate,Assembler,Steel Pipe,16.0,Quickwire,60.0,,,,,Stator,8.0,,
Radio Connection UnitAlternate,Manufacturer,Heat Sink,15.0,High-Speed Connector,7.5,Quartz Crystal,45.0,,,Radio Control Unit,3.75,,
Radio Control SystemAlternate,Manufacturer,Crystal Oscillator,1.5,Circuit Board,15.0,Aluminum Casing,90.0,Rubber,45.0,Radio Control Unit,4.5,,
Recycled PlasticAlternate,Refinery,Rubber,30.0,Fuel,30.0,,,,,Plastic,60.0,,
Recycled RubberAlternate,Refinery,Plastic,30.0,Fuel,30.0,,,,,Rubber,60.0,,
Rigor MotorAlternate,Manufacturer,Rotor,3.75,Stator,3.75,Crystal Oscillator,1.25,,,Motor,7.5,,
Rubber ConcreteAlternate,Assembler,Limestone,100.0,Rubber,20.0,,,,,Concrete,90.0,,
Silicon Circuit BoardAlternate,Assembler,Copper Sheet,27.5,Silica,27.5,,,,,Circuit Board,12.5,,
Silicon High-Speed ConnectorAlternate,Manufacturer,Quickwire,90.0,Silica,37.5,Circuit Board,3.0,,,High-Speed Connector,3.0,,
Sloppy AluminaAlternate,Refinery,Bauxite,200.0,Water,200.0,,,,,Alumina Solution,240.0,,
Solid Steel IngotAlternate,Foundry,Iron Ingot,40.0,Coal,40.0,,,,,Steel Ingot,60.0,,
Steamed Copper SheetAlternate,Refinery,Copper Ingot,22.5,Water,22.5,,,,,Copper Sheet,22.5,,
Steel CanisterAlternate,Constructor,Steel Ingot,40.0,,,,,,,Empty Canister,40.0,,
Steel Cast PlateAlternate,Foundry,Iron Ingot,15.0,Steel Ingot,15.0,,,,,Iron Plate,45.0,,
Steel RodAlternate,Constructor,Steel Ingot,12.0,,,,,,,Iron Rod,48.0,,
Steel RotorAlternate,Assembler,Steel Pipe,10.0,Wire,30.0,,,,,Rotor,5.0,,
Steel ScrewsAlternate,Constructor,Steel Beam,5.0,,,,,,,Screws,260.0,,
Steeled FrameAlternate,Assembler,Reinforced Iron Plate,2.0,Steel Pipe,10.0,,,,,Modular Frame,3.0,,
Stitched Iron PlateAlternate,Assembler,Iron Plate,18.75,Wire,37.5,,,,,Reinforced Iron Plate,5.625,,
Super-State ComputerAlternate,Manufacturer,Computer,7.2,Electromagnetic Control Rod,2.4,Battery,24.0,Wire,60.0,Supercomputer,2.4,,
Tempered Caterium IngotAlternate,Foundry,Caterium Ore,45.0,Petroleum Coke,15.0,,,,,Caterium Ingot,22.5,,
Tempered Copper IngotAlternate,Foundry,Copper Ore,25.0,Petroleum Coke,40.0,,,,,Copper Ingot,60.0,,
Turbo Blend FuelAlternate,Blender,Fuel,15.0,Heavy Oil Residue,30.0,Sulfur,22.5,Petroleum Coke,22.5,Turbofuel,45.0,,
Turbo DiamondsAlternate,Particle Accelerator,Coal,600.0,Packaged Turbofuel,40.0,,,,,Diamonds,60.0,,
Turbo Electric MotorAlternate,Manufacturer,Motor,6.5625,Radio Control Unit,8.4375,Electromagnetic Control Rod,4.6875,Rotor,6.5625,Turbo Motor,2.8125,,
Turbo Heavy FuelAlternate,Refinery,Heavy Oil Residue,37.5,Compacted Coal,30.0,,,,,Turbofuel,30.0,,
Turbo Pressure MotorAlternate,Manufacturer,Motor,7.5,Pressure Conversion Cube,1.875,Packaged Nitrogen Gas,45.0,Stator,15.0,Turbo Motor,3.75,,
TurbofuelAlternate,Refinery,Fuel,22.5,Compacted Coal,15.0,,,,,Turbofuel,18.75,,
Uranium Fuel UnitAlternate,Manufacturer,Encased Uranium Cell,20.0,Electromagnetic Control Rod,2.0,Crystal Oscillator,0.6,Rotor,2.0,Uranium Fuel Rod,0.6,,
Wet ConcreteAlternate,Refinery,Limestone,120.0,Water,100.0,,,,,Concrete,80.0,,
